tissue,covfile,eqtlfile
WholeBlood,Whole_Blood.v8.covariates.txt,Whole_Blood.v8.EUR.egenes.txt
Adipose-Subcutaneous,Adipose_Subcutaneous.v8.covariates.txt,Adipose_Subcutaneous.v8.EUR.egenes.txt
Muscle-Skeletal,Muscle_Skeletal.v8.covariates.txt,Muscle_Skeletal.v8.EUR.egenes.txt
Artery-Tibial,Artery_Tibial.v8.covariates.txt,Artery_Tibial.v8.EUR.egenes.txt
Artery-Coronary,Artery_Coronary.v8.covariates.txt,Artery_Coronary.v8.EUR.egenes.txt
Heart-AtrialAppendage,Heart_Atrial_Appendage.v8.covariates.txt,Heart_Atrial_Appendage.v8.EUR.egenes.txt
Adipose-Visceral(Omentum),Adipose_Visceral_Omentum.v8.covariates.txt,Adipose_Visceral_Omentum.v8.EUR.egenes.txt
Breast-MammaryTissue,Breast_Mammary_Tissue.v8.covariates.txt,Breast_Mammary_Tissue.v8.EUR.egenes.txt
Skin-NotSunExposed(Suprapubic),Skin_Not_Sun_Exposed_Suprapubic.v8.covariates.txt,Skin_Not_Sun_Exposed_Suprapubic.v8.EUR.egenes.txt
MinorSalivaryGland,Minor_Salivary_Gland.v8.covariates.txt,Minor_Salivary_Gland.v8.EUR.egenes.txt
Brain-Cortex,Brain_Cortex.v8.covariates.txt,Brain_Cortex.v8.EUR.egenes.txt
AdrenalGland,Adrenal_Gland.v8.covariates.txt,Adrenal_Gland.v8.EUR.egenes.txt
Thyroid,Thyroid.v8.covariates.txt,Thyroid.v8.EUR.egenes.txt
Lung,Lung.v8.covariates.txt,Lung.v8.EUR.egenes.txt
Spleen,Spleen.v8.covariates.txt,Spleen.v8.EUR.egenes.txt
Pancreas,Pancreas.v8.covariates.txt,Pancreas.v8.EUR.egenes.txt
Esophagus-Muscularis,Esophagus_Muscularis.v8.covariates.txt,Esophagus_Muscularis.v8.EUR.egenes.txt
Esophagus-Mucosa,Esophagus_Mucosa.v8.covariates.txt,Esophagus_Mucosa.v8.EUR.egenes.txt
Esophagus-GastroesophagealJunction,Esophagus_Gastroesophageal_Junction.v8.covariates.txt,Esophagus_Gastroesophageal_Junction.v8.EUR.egenes.txt
Stomach,Stomach.v8.covariates.txt,Stomach.v8.EUR.egenes.txt
Colon-Sigmoid,Colon_Sigmoid.v8.covariates.txt,Colon_Sigmoid.v8.EUR.egenes.txt
SmallIntestine-TerminalIleum,Small_Intestine_Terminal_Ileum.v8.covariates.txt,Small_Intestine_Terminal_Ileum.v8.EUR.egenes.txt
Colon-Transverse,Colon_Transverse.v8.covariates.txt,Colon_Transverse.v8.EUR.egenes.txt
Skin-SunExposed(Lowerleg),Skin_Sun_Exposed_Lower_leg.v8.covariates.txt,Skin_Sun_Exposed_Lower_leg.v8.EUR.egenes.txt
Nerve-Tibial,Nerve_Tibial.v8.covariates.txt,Nerve_Tibial.v8.EUR.egenes.txt
Heart-LeftVentricle,Heart_Left_Ventricle.v8.covariates.txt,Heart_Left_Ventricle.v8.EUR.egenes.txt
Pituitary,Pituitary.v8.covariates.txt,Pituitary.v8.EUR.egenes.txt
Brain-Cerebellum,Brain_Cerebellum.v8.covariates.txt,Brain_Cerebellum.v8.EUR.egenes.txt
Cells-Culturedfibroblasts,Cells_Cultured_fibroblasts.v8.covariates.txt,Cells_Cultured_fibroblasts.v8.EUR.egenes.txt
Artery-Aorta,Artery_Aorta.v8.covariates.txt,Artery_Aorta.v8.EUR.egenes.txt
Cells-EBV-transformedlymphocytes,Cells_EBV-transformed_lymphocytes.v8.covariates.txt,Cells_EBV-transformed_lymphocytes.v8.EUR.egenes.txt
Brain-CerebellarHemisphere,Brain_Cerebellar_Hemisphere.v8.covariates.txt,Brain_Cerebellar_Hemisphere.v8.EUR.egenes.txt
Brain-Caudate(basalganglia),Brain_Caudate_basal_ganglia.v8.covariates.txt,Brain_Caudate_basal_ganglia.v8.EUR.egenes.txt
Brain-Nucleusaccumbens(basalganglia),Brain_Nucleus_accumbens_basal_ganglia.v8.covariates.txt,Brain_Nucleus_accumbens_basal_ganglia.v8.EUR.egenes.txt
Brain-Putamen(basalganglia),Brain_Putamen_basal_ganglia.v8.covariates.txt,Brain_Putamen_basal_ganglia.v8.EUR.egenes.txt
Brain-Hypothalamus,Brain_Hypothalamus.v8.covariates.txt,Brain_Hypothalamus.v8.EUR.egenes.txt
Brain-Spinalcord(cervicalc-1),Brain_Spinal_cord_cervical_c-1.v8.covariates.txt,Brain_Spinal_cord_cervical_c-1.v8.EUR.egenes.txt
Liver,Liver.v8.covariates.txt,Liver.v8.EUR.egenes.txt
Brain-Hippocampus,Brain_Hippocampus.v8.covariates.txt,Brain_Hippocampus.v8.EUR.egenes.txt
Brain-Anteriorcingulatecortex(BA24),Brain_Anterior_cingulate_cortex_BA24.v8.covariates.txt,Brain_Anterior_cingulate_cortex_BA24.v8.EUR.egenes.txt
Brain-Substantianigra,Brain_Substantia_nigra.v8.covariates.txt,Brain_Substantia_nigra.v8.EUR.egenes.txt
Kidney-Cortex,Kidney_Cortex.v8.covariates.txt,Kidney_Cortex.v8.EUR.egenes.txt
Brain-Amygdala,Brain_Amygdala.v8.covariates.txt,Brain_Amygdala.v8.EUR.egenes.txt
